SRCID,Mode,Q1,Q2,nominal Q2,Q3,Q4,binary undecided voter,DUM1,DUM2,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5m,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q7g,Q7h,Q7i,Q8,Q9a,Q9b,Q9c,Q9d,Q9e,Q9f,Q9g,Q9h,Q9i,Q9j,Q9k,Q10,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_DK,Q13_REF,Q14,Q15a,Q15b,Q15c,Q15d,Q15e,Q15f,Q15g,Q15h,Q15i,Q15_safe_gambler,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,Q23,Q24,Q25,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,nominal StateMap
1366,2,2,7,"""7""",30,1,FALSE,1,3,3,1,-98,3,1,2,-98,3,-98,1,2,2,5,1,1,1,1,1,1,1,1,1,9,-98,2,-98,-98,3,2,-98,2,-98,-98,-98,-98,-98,-98,-98,2,-98,-98,-98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,-98,1,1,2,2,-98,4,-98,-98,-98,-98,-98,3,5,10,1, , , ,2,4,2,5,5,"""5"""
346,2,2,1,"""1""",5,3,FALSE,2,2,3,3,2,1,2,1,1,1,1,1,1,1,6,2,1,1,2,1,1,2,1,1,5,4,2,3,3,3,2,2,2,1,2,1,1,1,4,2,1,1,2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,24,4,4,4,4,4,4,3,4,4,0.962962963,2,1,2,2,3,3,4,3,2,4,2,2,3,9,9,1, , , ,1,3,2,5,5,"""5"""
1043,2,4,11,"""11""",16,4,FALSE,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,1,2,4,4,2,4,4,2,3,2,2,2,2,2,1,4,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,3,3,3,2,4,2,2,2,5,6,1, , , ,2,3,3,5,5,"""5"""
699,2,2,13,"""13""",1,-98,TRUE,2,3,2,1,2,1,3,3,1,-98,-98,2,2,-98,2,2,1,1,1,2,1,1,2,1,9,3,4,4,4,4,3,4,3,4,4,3,2,3,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,4,4,4,4,4,4,4,4,1,2,2,2,3,2,4,4,3,2,3,2,3,3,1,10,1, , , ,2,4,2,5,5,"""5"""
2189,2,2,4,"""4""",16,4,FALSE,1,2,3,1,2,2,1,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,1,3,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,48,4,4,4,4,4,4,4,4,4,1,3,2,3,2,2,3,3,3,3,2,3,2,2,6,10,1, , , ,2,4,3,5,5,"""5"""
586,2,4,36,"""36""",29,11,FALSE,2,1,1,3,4,4,4,3,4,1,3,2,4,2,1,2,1,2,1,2,1,3,2,2,5,2,4,4,3,4,3,2,2,3,2,2,2,1,4,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,1,2,2,2,2,3,2,2,3,3,2,2,2,3,3,10,1, , , ,1,3,3,5,5,"""5"""
1332,1,4,13,"""13""",96,1,FALSE,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,8,-98,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,-98,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,4,4,4,4,4,4,4,4,4,1,2,1,2,2,1,4,4,1,1,2,1,2,3,7,8,3, , , ,2,4,3,5,5,"""5"""
571,1,2,-98,"""-98""", ,1,FALSE,2,2,1,1,1,2,1,2,2,1,2,2,2,2,3,2,2,2,1,2,1,1,1,1,5,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,1,2,2,3,1,3,3,2,3,3,2,1,2,7,10,1, , , ,2,4,3,5,5,"""5"""
895,2,2,-98,"""-98""", ,1,FALSE,2,3,1,1,1,1,2,2,2,2,2,2,2,1,9,1,1,1,1,1,1,1,1,1,8,2,3,2,2,3,1,2,2,2,3,2,1,2,3,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,4,4,4,4,4,4,4,4,1,3,2,2,3,1,4,2,2,2,3,2,3,3,4,5,1,-98,2, ,2,4,1,5,5,"""5"""
10,1,4,12,"""12""",11,8,FALSE,2,1,2,1,2,2,1,2,2,2,2,2,3,2,2,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,3,-98,2,3,3,2,1,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,52,4,4,4,4,4,4,4,4,4,1,3,1,2,2,1,3,4,2,1,2,2,2,2,5,7,1, , , ,2,4,2,5,5,"""5"""
