SRCID,Q1,Q5a,Q5c,p_age_group_sdc,p_education_sdc,TFC_DUM1
834,2,1,3,4,2,"(1,2]"
1009,2,3,2,3,3,"(1,2]"
906,2,2,3,3,1,"(1,2]"
147,4,1,1,2,1,"(1,2]"
2138,2,3,2,2,2,"(1,2]"
1818,2,2,1,4,3,"(1,2]"
1621,2,2,3,4,1,"(1,2]"
751,5,2,2,4,3,"(1,2]"
1424,2,2,3,4,2,"(1,2]"
735,5,1,1,3,1,"(1,2]"
1800,2,1,1,2,1,"(1,2]"
740,4,4,4,1,1,"(1,2]"
302,2,2,2,2,1,"(1,2]"
653,2,1,2,4,1,"(1,2]"
1798,4,1,1,3,3,"(1,2]"
795,2,1,2,1,1,"(1,2]"
2022,4,1,1,4,3,"(1,2]"
324,2,2,2,4,3,"(1,2]"
1166,2,4,2,2,3,"(1,2]"
931,4,4,3,4,1,"(1,2]"
1200,1,1,2,2,2,"(1,2]"
72,2,1,1,2,1,"(1,2]"
1753,2,1,3,3,1,"(1,2]"
656,4,1,2,3,3,"(1,2]"
853,1,2,1,4,3,"(1,2]"
1842,1,2,2,4,1,"(1,2]"
1830,2,1,4,3,1,"(1,2]"
538,2,2,2,2,2,"(1,2]"
699,2,2,2,4,2,"(1,2]"
1248,2,2,2,3,3,"(1,2]"
337,2,1,2,3,1,"(1,2]"
1109,4,1,3,4,2,"(1,2]"
722,4,1,1,3,1,"(1,2]"
1310,4,2,2,4,1,"(1,2]"
1446,2,2,1,4,2,"(1,2]"
1149,4,1,2,4,1,"(1,2]"
1405,4,1,2,3,2,"(1,2]"
319,2,2,1,2,NA,"(1,2]"
543,2,2,2,2,1,"(1,2]"
780,2,3,2,4,2,"(1,2]"
1029,2,1,2,3,2,"(1,2]"
2465,4,2,1,3,NA,"(1,2]"
278,2,1,2,3,2,"(1,2]"
1783,2,4,3,1,3,"(1,2]"
1421,-98,1,-98,4,3,"(1,2]"
924,2,2,2,4,3,"(1,2]"
1349,2,2,1,4,3,"(1,2]"
1330,2,1,2,1,2,"(1,2]"
1141,2,1,2,2,2,"(1,2]"
285,4,3,3,2,3,"(1,2]"
1625,4,2,2,3,3,"(1,2]"
767,5,2,2,4,1,"(1,2]"
53,5,2,2,NA,2,"(1,2]"
1357,1,1,2,4,1,"(1,2]"
241,4,2,3,4,1,"(1,2]"
1679,2,2,1,1,3,"(1,2]"
2114,2,2,2,4,2,"(1,2]"
1151,4,2,2,1,3,"(1,2]"
1188,2,1,2,2,1,"(1,2]"
1716,1,1,1,2,2,"(1,2]"
507,4,3,2,2,1,"(1,2]"
477,4,1,2,3,2,"(1,2]"
840,2,1,2,4,1,"(1,2]"
1133,2,2,2,4,1,"(1,2]"
1636,4,1,3,2,1,"(1,2]"
255,2,2,2,2,3,"(1,2]"
2073,5,1,1,4,1,"(1,2]"
748,2,2,3,2,2,"(1,2]"
1587,5,1,1,3,2,"(1,2]"
1476,4,2,3,4,3,"(1,2]"
980,2,2,3,4,2,"(1,2]"
427,2,2,2,2,1,"(1,2]"
1321,2,1,1,4,3,"(1,2]"
2395,4,2,2,4,2,"(1,2]"
328,2,1,1,2,1,"(1,2]"
451,2,1,2,2,1,"(1,2]"
788,2,2,2,3,1,"(1,2]"
1507,-98,2,2,1,3,"(1,2]"
1331,4,1,2,2,1,"(1,2]"
404,4,1,3,3,3,"(1,2]"
1674,2,2,3,4,2,"(1,2]"
501,4,1,1,2,2,"(1,2]"
179,5,1,1,4,1,"(1,2]"
1499,4,1,2,3,3,"(1,2]"
352,4,2,3,1,3,"(1,2]"
1569,4,2,3,3,1,"(1,2]"
1204,2,3,1,2,1,"(1,2]"
1501,2,1,2,3,3,"(1,2]"
2035,2,1,1,2,3,"(1,2]"
816,2,4,4,4,2,"(1,2]"
1226,4,2,2,4,NA,"(1,2]"
2500,2,1,1,4,2,"(1,2]"
1794,2,2,1,1,3,"(1,2]"
1116,5,3,1,3,2,"(1,2]"
682,1,1,2,4,1,"(1,2]"
